Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s),Epochs,Hardware
RNN,relu,adam,50,No,0.7127,0.7125,5.97,5,CPU
RNN,relu,adam,25,No,0.7004,0.6997,4.41,5,CPU
RNN,relu,adam,25,Yes,0.7118,0.7118,4.85,5,CPU
RNN,relu,adam,50,No,0.7127,0.7125,5.9,5,CPU
RNN,relu,adam,50,Yes,0.7541,0.7536,6.44,5,CPU
RNN,relu,adam,100,No,0.6851,0.6777,9.27,5,CPU
RNN,relu,adam,100,Yes,0.7924,0.7912,9.98,5,CPU
RNN,relu,sgd,25,No,0.5034,0.5021,2.97,5,CPU
RNN,relu,sgd,25,Yes,0.5034,0.5021,3.45,5,CPU
RNN,relu,sgd,50,No,0.5043,0.503,4.49,5,CPU
RNN,relu,sgd,50,Yes,0.5044,0.503,5.13,5,CPU
RNN,relu,sgd,100,No,0.5048,0.5005,7.84,5,CPU
RNN,relu,sgd,100,Yes,0.5048,0.5005,8.17,5,CPU
RNN,relu,rmsprop,25,No,0.6996,0.6939,3.72,5,CPU
RNN,relu,rmsprop,25,Yes,0.7114,0.7109,4.15,5,CPU
RNN,relu,rmsprop,50,No,0.7428,0.7423,5.44,5,CPU
RNN,relu,rmsprop,50,Yes,0.7367,0.736,5.88,5,CPU
RNN,relu,rmsprop,100,No,0.4993,0.333,8.64,5,CPU
RNN,relu,rmsprop,100,Yes,0.7849,0.7849,9.18,5,CPU
RNN,tanh,adam,25,No,0.6428,0.6424,4.55,5,CPU
RNN,tanh,adam,25,Yes,0.6766,0.6765,5.02,5,CPU
RNN,tanh,adam,50,No,0.5776,0.5568,6.34,5,CPU
RNN,tanh,adam,50,Yes,0.6523,0.6479,6.9,5,CPU
RNN,tanh,adam,100,No,0.5492,0.5453,10.38,5,CPU
RNN,tanh,adam,100,Yes,0.6497,0.6408,10.95,5,CPU
RNN,tanh,sgd,25,No,0.5047,0.5047,3.26,5,CPU
RNN,tanh,sgd,25,Yes,0.5046,0.5046,3.74,5,CPU
RNN,tanh,sgd,50,No,0.5004,0.5004,5.44,5,CPU
RNN,tanh,sgd,50,Yes,0.5008,0.5007,5.71,5,CPU
RNN,tanh,sgd,100,No,0.504,0.5021,9.25,5,CPU
RNN,tanh,sgd,100,Yes,0.5042,0.5022,9.74,5,CPU
RNN,tanh,rmsprop,25,No,0.6656,0.6654,4.21,5,CPU
RNN,tanh,rmsprop,25,Yes,0.6779,0.6779,4.65,5,CPU
RNN,tanh,rmsprop,50,No,0.6502,0.6467,6.21,5,CPU
RNN,tanh,rmsprop,50,Yes,0.6917,0.6909,6.83,5,CPU
RNN,tanh,rmsprop,100,No,0.6158,0.6128,9.78,5,CPU
RNN,tanh,rmsprop,100,Yes,0.6974,0.6963,10.34,5,CPU
RNN,sigmoid,adam,25,No,0.6343,0.631,4.39,5,CPU
RNN,sigmoid,adam,25,Yes,0.6697,0.6682,5.09,5,CPU
RNN,sigmoid,adam,50,No,0.6368,0.6368,6.42,5,CPU
RNN,sigmoid,adam,50,Yes,0.669,0.6638,6.94,5,CPU
RNN,sigmoid,adam,100,No,0.5903,0.5876,10.24,5,CPU
RNN,sigmoid,adam,100,Yes,0.6247,0.6244,10.65,5,CPU
RNN,sigmoid,sgd,25,No,0.5065,0.5054,3.12,5,CPU
RNN,sigmoid,sgd,25,Yes,0.5064,0.5054,3.6,5,CPU
RNN,sigmoid,sgd,50,No,0.499,0.4981,5.0,5,CPU
RNN,sigmoid,sgd,50,Yes,0.4997,0.4996,5.49,5,CPU
RNN,sigmoid,sgd,100,No,0.5048,0.4989,8.98,5,CPU
RNN,sigmoid,sgd,100,Yes,0.5046,0.4988,9.55,5,CPU
RNN,sigmoid,rmsprop,25,No,0.6576,0.6557,4.03,5,CPU
RNN,sigmoid,rmsprop,25,Yes,0.669,0.6641,4.51,5,CPU
RNN,sigmoid,rmsprop,50,No,0.652,0.6513,5.94,5,CPU
RNN,sigmoid,rmsprop,50,Yes,0.6725,0.6723,6.8,5,CPU
RNN,sigmoid,rmsprop,100,No,0.626,0.6226,9.82,5,CPU
RNN,sigmoid,rmsprop,100,Yes,0.697,0.6949,10.15,5,CPU
LSTM,relu,adam,25,No,0.7228,0.7225,7.68,5,CPU
LSTM,relu,adam,25,Yes,0.7229,0.7227,8.05,5,CPU
LSTM,relu,adam,50,No,0.7671,0.7669,12.94,5,CPU
LSTM,relu,adam,50,Yes,0.7633,0.7623,13.53,5,CPU
LSTM,relu,adam,100,No,0.7856,0.7856,24.01,5,CPU
LSTM,relu,adam,100,Yes,0.8035,0.8033,24.54,5,CPU
LSTM,relu,sgd,25,No,0.5017,0.5011,6.43,5,CPU
LSTM,relu,sgd,25,Yes,0.5017,0.5011,6.95,5,CPU
LSTM,relu,sgd,50,No,0.4932,0.4915,11.82,5,CPU
LSTM,relu,sgd,50,Yes,0.4932,0.4915,12.58,5,CPU
LSTM,relu,sgd,100,No,0.4956,0.4911,22.86,5,CPU
LSTM,relu,sgd,100,Yes,0.4956,0.4911,23.03,5,CPU
LSTM,relu,rmsprop,25,No,0.7199,0.7198,7.34,5,CPU
LSTM,relu,rmsprop,25,Yes,0.7191,0.7191,7.8,5,CPU
LSTM,relu,rmsprop,50,No,0.758,0.7571,12.62,5,CPU
LSTM,relu,rmsprop,50,Yes,0.7642,0.7639,13.43,5,CPU
LSTM,relu,rmsprop,100,No,0.7299,0.7228,23.45,5,CPU
LSTM,relu,rmsprop,100,Yes,0.8032,0.8028,23.98,5,CPU
LSTM,tanh,adam,25,No,0.722,0.7214,7.98,5,CPU
LSTM,tanh,adam,25,Yes,0.7221,0.7219,8.49,5,CPU
LSTM,tanh,adam,50,No,0.7672,0.7669,13.59,5,CPU
LSTM,tanh,adam,50,Yes,0.7675,0.7675,13.91,5,CPU
LSTM,tanh,adam,100,No,0.8086,0.8086,24.15,5,CPU
LSTM,tanh,adam,100,Yes,0.8141,0.814,24.43,5,CPU
LSTM,tanh,sgd,25,No,0.5045,0.5041,6.77,5,CPU
LSTM,tanh,sgd,25,Yes,0.5045,0.5041,7.41,5,CPU
LSTM,tanh,sgd,50,No,0.495,0.4948,12.62,5,CPU
LSTM,tanh,sgd,50,Yes,0.495,0.4948,13.04,5,CPU
LSTM,tanh,sgd,100,No,0.4948,0.4948,23.18,5,CPU
LSTM,tanh,sgd,100,Yes,0.4948,0.4948,24.47,5,CPU
LSTM,tanh,rmsprop,25,No,0.72,0.719,7.97,5,CPU
LSTM,tanh,rmsprop,25,Yes,0.7223,0.7221,8.05,5,CPU
LSTM,tanh,rmsprop,50,No,0.73,0.7219,13.36,5,CPU
LSTM,tanh,rmsprop,50,Yes,0.7634,0.7629,13.87,5,CPU
LSTM,tanh,rmsprop,100,No,0.7725,0.772,24.98,5,CPU
LSTM,tanh,rmsprop,100,Yes,0.7946,0.7935,24.89,5,CPU
LSTM,sigmoid,adam,25,No,0.7212,0.7202,8.35,5,CPU
LSTM,sigmoid,adam,25,Yes,0.7205,0.7204,8.71,5,CPU
LSTM,sigmoid,adam,50,No,0.7396,0.7396,14.32,5,CPU
LSTM,sigmoid,adam,50,Yes,0.7634,0.7633,14.86,5,CPU
LSTM,sigmoid,adam,100,No,0.7625,0.761,25.44,5,CPU
LSTM,sigmoid,adam,100,Yes,0.6314,0.6186,26.21,5,CPU
LSTM,sigmoid,sgd,25,No,0.5015,0.4953,6.52,5,CPU
LSTM,sigmoid,sgd,25,Yes,0.5011,0.4921,7.17,5,CPU
LSTM,sigmoid,sgd,50,No,0.497,0.4138,12.54,5,CPU
LSTM,sigmoid,sgd,50,Yes,0.498,0.4334,13.73,5,CPU
LSTM,sigmoid,sgd,100,No,0.5008,0.3345,24.23,5,CPU
LSTM,sigmoid,sgd,100,Yes,0.5005,0.3354,24.85,5,CPU
LSTM,sigmoid,rmsprop,25,No,0.7166,0.7162,8.17,5,CPU
LSTM,sigmoid,rmsprop,25,Yes,0.7105,0.709,8.77,5,CPU
LSTM,sigmoid,rmsprop,50,No,0.7306,0.7247,13.65,5,CPU
LSTM,sigmoid,rmsprop,50,Yes,0.7343,0.7302,14.35,5,CPU
LSTM,sigmoid,rmsprop,100,No,0.7608,0.7596,24.8,5,CPU
LSTM,sigmoid,rmsprop,100,Yes,0.7885,0.7867,24.61,5,CPU
BILSTM,relu,adam,25,No,0.718,0.7175,14.23,5,CPU
BILSTM,relu,adam,25,Yes,0.7206,0.7202,15.18,5,CPU
BILSTM,relu,adam,50,No,0.764,0.7639,25.58,5,CPU
BILSTM,relu,adam,50,Yes,0.7642,0.7641,26.92,5,CPU
BILSTM,relu,adam,100,No,0.8064,0.8064,47.72,5,CPU
BILSTM,relu,adam,100,Yes,0.8151,0.815,48.09,5,CPU
BILSTM,relu,sgd,25,No,0.5049,0.5045,12.55,5,CPU
BILSTM,relu,sgd,25,Yes,0.5049,0.5045,12.91,5,CPU
BILSTM,relu,sgd,50,No,0.5036,0.5036,22.71,5,CPU
BILSTM,relu,sgd,50,Yes,0.5036,0.5036,23.44,5,CPU
BILSTM,relu,sgd,100,No,0.4974,0.4946,45.35,5,CPU
BILSTM,relu,sgd,100,Yes,0.4974,0.4946,47.31,5,CPU
BILSTM,relu,rmsprop,25,No,0.7123,0.7118,13.17,5,CPU
BILSTM,relu,rmsprop,25,Yes,0.712,0.7119,13.71,5,CPU
BILSTM,relu,rmsprop,50,No,0.7561,0.752,24.86,5,CPU
BILSTM,relu,rmsprop,50,Yes,0.7644,0.7624,25.18,5,CPU
BILSTM,relu,rmsprop,100,No,0.7675,0.7668,47.36,5,CPU
BILSTM,relu,rmsprop,100,Yes,0.8134,0.8133,49.59,5,CPU
BILSTM,tanh,adam,25,No,0.7186,0.7186,15.19,5,CPU
BILSTM,tanh,adam,25,Yes,0.7169,0.7169,14.93,5,CPU
BILSTM,tanh,adam,50,No,0.7666,0.7657,24.75,5,CPU
BILSTM,tanh,adam,50,Yes,0.7667,0.7667,25.05,5,CPU
BILSTM,tanh,adam,100,No,0.8096,0.8095,47.81,5,CPU
BILSTM,tanh,adam,100,Yes,0.8096,0.8094,47.91,5,CPU
BILSTM,tanh,sgd,25,No,0.5043,0.503,11.89,5,CPU
BILSTM,tanh,sgd,25,Yes,0.5043,0.503,12.43,5,CPU
BILSTM,tanh,sgd,50,No,0.5073,0.5048,22.98,5,CPU
BILSTM,tanh,sgd,50,Yes,0.5073,0.5048,24.0,5,CPU
BILSTM,tanh,sgd,100,No,0.5014,0.5014,46.8,5,CPU
BILSTM,tanh,sgd,100,Yes,0.5014,0.5014,45.94,5,CPU
BILSTM,tanh,rmsprop,25,No,0.7127,0.7126,12.77,5,CPU
BILSTM,tanh,rmsprop,25,Yes,0.7155,0.7151,13.69,5,CPU
BILSTM,tanh,rmsprop,50,No,0.7628,0.7622,24.46,5,CPU
BILSTM,tanh,rmsprop,50,Yes,0.7613,0.759,25.06,5,CPU
BILSTM,tanh,rmsprop,100,No,0.79,0.7871,46.93,5,CPU
BILSTM,tanh,rmsprop,100,Yes,0.8027,0.8012,48.1,5,CPU
BILSTM,sigmoid,adam,25,No,0.7149,0.7144,14.66,5,CPU
BILSTM,sigmoid,adam,25,Yes,0.7157,0.714,15.23,5,CPU
BILSTM,sigmoid,adam,50,No,0.7532,0.7519,26.11,5,CPU
BILSTM,sigmoid,adam,50,Yes,0.7601,0.7587,25.92,5,CPU
BILSTM,sigmoid,adam,100,No,0.6937,0.6904,47.99,5,CPU
BILSTM,sigmoid,adam,100,Yes,0.7957,0.7948,48.18,5,CPU
BILSTM,sigmoid,sgd,25,No,0.5007,0.3336,12.43,5,CPU
BILSTM,sigmoid,sgd,25,Yes,0.5007,0.3336,12.94,5,CPU
BILSTM,sigmoid,sgd,50,No,0.4993,0.3331,23.51,5,CPU
BILSTM,sigmoid,sgd,50,Yes,0.4991,0.3332,24.07,5,CPU
BILSTM,sigmoid,sgd,100,No,0.5016,0.483,47.96,5,CPU
BILSTM,sigmoid,sgd,100,Yes,0.5035,0.4441,47.41,5,CPU
BILSTM,sigmoid,rmsprop,25,No,0.7152,0.7152,13.84,5,CPU
BILSTM,sigmoid,rmsprop,25,Yes,0.7148,0.7141,13.78,5,CPU
BILSTM,sigmoid,rmsprop,50,No,0.7488,0.7484,25.14,5,CPU
BILSTM,sigmoid,rmsprop,50,Yes,0.7609,0.7602,25.18,5,CPU
BILSTM,sigmoid,rmsprop,100,No,0.7602,0.7551,48.53,5,CPU
BILSTM,sigmoid,rmsprop,100,Yes,0.789,0.7865,48.33,5,CPU
